(a) Predicted Results:

"(1, 0)"
"(2, 9)"
"(3, 9)"
"(4, 9)"
"(5, 1)"
"(6, 1)"
"(7, 1)"
"(8, 8)"
"(9, 9)"
"(10, 5)"
"(11, 1)"
"(12, 1)"
"(13, 9)"
"(14, 1)"
"(15, 1)"
"(16, 9)"
"(17, 9)"
"(18, 7)"
"(19, 1)"
"(20, 8)"
"(21, 1)"
"(22, 9)"
"(23, 7)"
"(24, 9)"
"(25, 8)"
"(26, 1)"
"(27, 1)"
"(28, 8)"
"(29, 8)"
"(30, 9)"
"(31, 2)"
"(32, 8)"
"(33, 9)"
"(34, 5)"
"(35, 1)"
"(36, 9)"
"(37, 9)"
"(38, 1)"
"(39, 1)"
"(40, 1)"
"(41, 7)"
"(42, 2)"
"(43, 5)"
"(44, 9)"
"(45, 9)"
"(46, 1)"
"(47, 8)"
"(48, 5)"
"(49, 1)"
"(50, 9)"
"(51, 9)"
"(52, 5)"
"(53, 9)"
"(54, 0)"
"(55, 1)"
"(56, 8)"
"(57, 5)"
"(58, 9)"
"(59, 1)"
"(60, 1)"
"(61, 9)"
"(62, 0)"
"(63, 0)"
"(64, 9)"
"(65, 0)"
"(66, 1)"
"(67, 9)"
"(68, 0)"
"(69, 9)"
"(70, 1)"
"(71, 0)"
"(72, 1)"
"(73, 9)"
"(74, 9)"
"(75, 8)"
"(76, 9)"
"(77, 1)"
"(78, 9)"
"(79, 9)"
"(80, 7)"
"(81, 1)"
"(82, 6)"
"(83, 5)"
"(84, 0)"
"(85, 8)"
"(86, 9)"
"(87, 9)"
"(88, 7)"
"(89, 6)"
"(90, 8)"
"(91, 9)"
"(92, 1)"
"(93, 1)"
"(94, 9)"
"(95, 1)"
"(96, 9)"
"(97, 9)"
"(98, 0)"
"(99, 0)"
"(100, 9)"
"(101, 8)"
"(102, 8)"
"(103, 9)"
"(104, 5)"
"(105, 5)"
"(106, 2)"
"(107, 5)"
"(108, 9)"
"(109, 9)"
"(110, 1)"
"(111, 9)"
"(112, 5)"
"(113, 5)"
"(114, 8)"
"(115, 9)"
"(116, 8)"
"(117, 1)"
"(118, 8)"
"(119, 9)"
"(120, 1)"
"(121, 5)"
"(122, 9)"
"(123, 9)"
"(124, 1)"
"(125, 1)"
"(126, 9)"
"(127, 2)"
"(128, 9)"
"(129, 4)"
"(130, 1)"
"(131, 1)"
"(132, 8)"
"(133, 1)"
"(134, 9)"
"(135, 1)"
"(136, 5)"
"(137, 9)"
"(138, 0)"
"(139, 8)"
"(140, 5)"
"(141, 0)"
"(142, 1)"
"(143, 9)"
"(144, 5)"
"(145, 0)"
"(146, 9)"
"(147, 9)"
"(148, 5)"
"(149, 1)"
"(150, 1)"
"(151, 9)"
"(152, 9)"
"(153, 1)"
"(154, 5)"
"(155, 0)"
"(156, 1)"
"(157, 5)"
"(158, 5)"
"(159, 1)"
"(160, 6)"
"(161, 8)"
"(162, 0)"
"(163, 1)"
"(164, 1)"
"(165, 1)"
"(166, 1)"
"(167, 1)"
"(168, 9)"
"(169, 0)"
"(170, 5)"
"(171, 9)"
"(172, 9)"
"(173, 0)"
"(174, 9)"
"(175, 1)"
"(176, 1)"
"(177, 0)"
"(178, 8)"
"(179, 5)"
"(180, 9)"
"(181, 1)"
"(182, 9)"
"(183, 9)"
"(184, 9)"
"(185, 1)"
"(186, 9)"
"(187, 9)"
"(188, 6)"
"(189, 1)"
"(190, 1)"
"(191, 9)"
"(192, 1)"
"(193, 9)"
"(194, 9)"
"(195, 7)"
"(196, 9)"
"(197, 1)"
"(198, 9)"
"(199, 9)"
"(200, 9)"
"(201, 0)"
"(202, 9)"
"(203, 0)"
"(204, 9)"
"(205, 9)"
"(206, 8)"
"(207, 1)"
"(208, 5)"
"(209, 8)"
"(210, 9)"
"(211, 4)"
"(212, 8)"
"(213, 0)"
"(214, 9)"
"(215, 6)"
"(216, 8)"
"(217, 7)"
"(218, 1)"
"(219, 9)"
"(220, 8)"
"(221, 1)"
"(222, 9)"
"(223, 5)"
"(224, 9)"
"(225, 1)"
"(226, 2)"
"(227, 5)"
"(228, 0)"
"(229, 1)"
"(230, 9)"
"(231, 1)"
"(232, 9)"
"(233, 6)"
"(234, 1)"
"(235, 5)"
